alpha_F,alpha_T,alpha_N,Rwp,sizeF,sizeT,sizeN,concF,concT,concN
0.0,0.0,1.0,25.7659471,0.0,0.0,61.5220863,0.0,0.0,100.0
0.0,0.02,0.98,25.5125237,0.0,19.08528,61.5220863,0.0,0.23,99.77
0.0,0.04,0.96,25.3804121,0.0,19.08528,61.5220863,0.0,0.4,99.6
0.0,0.06,0.9400000000000001,25.3321201,0.0,19.08528,61.5220863,0.0,0.65,99.35
0.0,0.08,0.92,25.3537868,0.0,19.08528,61.5220863,0.0,1.216,98.784
0.0,0.1,0.9,25.4849922,0.0,19.08528,61.5220863,0.0,1.889,98.111
0.0,0.12,0.88,25.6139474,0.0,19.08528,61.5220863,0.0,2.638,97.362
0.0,0.14,0.86,25.8180015,0.0,19.08528,61.5220863,0.0,3.503,96.497
0.0,0.16,0.84,26.0225845,0.0,19.08528,61.5220863,0.0,4.929,95.071
0.0,0.18,0.8200000000000001,26.3235035,0.0,19.08528,61.5220863,0.0,6.161,93.839
0.0,0.2,0.8,26.6509279,0.0,19.08528,61.5220863,0.0,7.487,92.513
0.0,0.22,0.78,27.0190148,0.0,19.08528,61.5220863,0.0,8.99,91.01
0.0,0.24,0.76,27.4138961,0.0,19.08528,61.5220863,0.0,10.706,89.294
0.0,0.26,0.74,27.8001856,0.0,19.08528,61.5220863,0.0,12.458,87.542
0.0,0.28,0.72,28.1946174,0.0,19.08528,61.5220863,0.0,14.457,85.543
0.0,0.3,0.7000000000000001,28.6061983,0.0,19.08528,61.5220863,0.0,16.609,83.391
0.0,0.32,0.68,29.0061617,0.0,19.08528,61.5220863,0.0,19.025,80.975
0.0,0.34,0.66,29.3699424,0.0,19.08528,61.5220863,0.0,21.589,78.411
0.0,0.36,0.64,29.7020823,0.0,19.08528,61.5220863,0.0,24.344,75.656
0.0,0.38,0.62,30.03472,0.0,19.08528,61.5220863,0.0,27.249,72.751
0.0,0.4,0.6,30.273382,0.0,19.08528,61.5220863,0.0,30.281,69.719
0.0,0.42,0.58,30.5081966,0.0,19.08528,61.5220863,0.0,33.489,66.511
0.0,0.44,0.56,30.6879621,0.0,19.08528,61.5220863,0.0,36.732,63.268
0.0,0.46,0.54,30.8605065,0.0,19.08528,61.5220863,0.0,40.252,59.748
0.0,0.48,0.52,30.9549324,0.0,19.08528,61.5220863,0.0,43.786,56.214
0.0,0.5,0.5,31.008711,0.0,19.08528,61.5220863,0.0,47.446,52.554
0.0,0.52,0.48,31.0486651,0.0,19.08528,61.5220863,0.0,50.0,50.0
0.0,0.54,0.46,30.9666955,0.0,19.08528,61.5220863,0.0,53.632,46.368
0.0,0.56,0.44,30.8589467,0.0,19.08528,61.5220863,0.0,57.103,42.897
0.0,0.58,0.42,30.6896687,0.0,19.08528,61.5220863,0.0,60.622,39.378
